"Project_name","Tromso_herbarium_code","BOLD_code","Species","Family","NCBI_TaxonID","NCBI_corrected_TaxonID","NCBI_TaxonID_note","Collection_date","Collection_month","Sample_collector","Sampling_location","Sampling_latitude","Sampling_longitude","Sample_age_when_extracted","Weight_of_extracted_material","Extraction_concentration_(ng/uL)","library","read_count","Chloroplast_length","Chloroplast_contigs","Chloroplast_coverage","nrDNA_length","nrDNA_contigs","nrDNA_coverage","CORRECTION","CORRECTION_COMMENT"
"batch01","TROM_V_960658","PNOR1732-18","Zannichellia palustris","Potamogetonaceae",29654,29654,,2004-08-29,"August","Alm, Torbjorn; Arnesen, Geir","Norway, Sor-Varanger: Munkelva: pa SV-siden av osen.",69.652,29.4559,14,0.0193,26.3,"CDM:AQC",30791332,"NA","NA","NA",9156,1,3595.2,0,
"batch01","TROM_V_960670","PNOR556-16","Glechoma hederacea","Lamiaceae",28509,28509,,2004-08-29,"August","Alm, Torbjorn; Arnesen, Geir","Norway, Sor-Varanger, Finnmark, Kirkenes: nord for Ternevann.",69.6859,30.0609,13,0.0167,15.1,"BXA:AKA",10272402,151478,1,206.8,6727,1,1391.8,0,
"batch01","TROM_V_960684","PNOR1272-18","Arctophila fulva","Poaceae",227211,227211,,2004-08-31,"August","Alm, Torbjorn; Arnesen, Geir","Norway, Guovdageaidnu/Kautokeino (kirkestedet), Gorovuohppi.",69.0121,23.0574,14,0.0497,8.84,"CDM:AOY",8925044,"NA","NA","NA",8178,1,133.9,0,
"batch01","TROM_V_92927","PNOR1226-17","Chamerion latifolium","Onagraceae",33138,33138,,2004-09-01,"September","Westergaard, Kristine","Canada, Depot Bay.",72.0156,-94.23,13,0.0226,20,"BXA:CDM",11263390,134641,29,43.2,8100,1,932.6,0,
"batch01","TROM_V_960132","PNOR051-16","Puschkinia scilloides","Hyacinthaceae",81792,81792,,2005-05-03,"May","Gamst, Solveig Bjerke","Norway, Tromso, Troms, Tromsoya: naer Tromso maritime skole, i nedre del av Bodenhoffs vei.",69.6561,18.9545,12,0.021,102,"BXA:ANA",11358852,155640,1,429.8,6194,1,581,0,
"batch01","TROM_V_960141","PNOR459-16","Crocus chrysanthus","Iridaceae",481050,481050,,2005-05-07,"May","Alm, Torbjorn; Gamst, Unni Bjerke","Norway, Tromso, Troms, Mellom Tomasjordnes og Myrland, pa vestsiden av hovedveien, ved gammel utkjorsel mot sjoen.",69.6732,19.0382,12,0.0215,30.8,"BXA:AQH",5490454,151019,1,102.1,"NA","NA","NA",0,
"batch01","TROM_V_960164","PNOR457-16","Narcissus pseudonarcissus","Amaryllidaceae",39639,39639,,2005-05-25,"May","Alm, Torbjorn; Gamst, Unni Bjerke","Norway, Tromso, Troms, Kvaloya: mellom Stakken og Selnes, ved sjoen.",69.6852,18.8456,12,0.0215,42,"BXA:APG",10056882,"NA","NA","NA",8534,1,67.1,0,
"batch01","TROM_V_963449","PNOR1575-18","Pedicularis sylvatica","Orobanchaceae",204401,204401,,2005-06-23,"June","Alm, Torbjorn; Gamst, Unni Bjerke","United Kingdom, Mainland: between Channerwick and Bigton.",59.9774,-1.3047,12,0.0129,21,"BXA:CIO",7458128,317500,1,21.4,"NA","NA","NA",0,
"batch01","TROM_V_965024","PNOR1418-18","Cynosurus cristatus","Poaceae",211939,211939,,2005-06-27,"June","Alm, Torbjorn; Gamst, Unni Bjerke","United Kingdom, Scotland, Shetland Islands, Mainland: Cliff Sound, Easterhoull, at the road.",60.14,-1.26,13,0.0244,30.8,"CDM:AQZ",11104048,192104,1,33.8,7889,1,222.7,0,
"batch01","TROM_V_133220","PNOR1667-18","Sedum annuum","Crassulaceae",1239890,1239890,,2005-07-04,"July","Skoglund, Trond","Norway, Meloy, Nordland, Holandsfjorden: Engen.",66.7089,13.7145,13,0.0245,1.43,"BXA:BRA",7420054,150382,1,122.1,"NA","NA","NA",0,
